group,x,y
Host tissue,-15.705,3.431
Host tissue,-15.565,2.956
Host tissue,-15.404,3.688
Host tissue,-14.987,3.381
Host tissue,-15.565,4.918
Host tissue,-14.292,3.368
Host tissue,-14.918,3.407
Host tissue,-14.335,2.667
Host tissue,-14.04,3.502
Host tissue,-14.641,6.61
Host tissue,-14.897,3.434
Host tissue,-15.291,7.976
Host tissue,-13.645,3.234
Host tissue,-16.048,3.572
Host tissue,-15.742,3.071
Host tissue,-15.0565,3.0965
Host tissue,-15.8605,3.787
Host tissue,-14.8965,3.9975
Host tissue,-13.968,5.0175
Host tissue,-16.61,4.481
Host tissue,-15.024,4.971
Host tissue,-15.843,4.75
Host tissue,-17.042,4.355
Host tissue,-14.775,5.437
Symbiodiniaceae,-15.29,3.038
Symbiodiniaceae,-15.303,2.9
Symbiodiniaceae,-15.312,2.876
Symbiodiniaceae,-14.713,2.888
Symbiodiniaceae,-15.521,3.147
Symbiodiniaceae,-14.139,2.22
Symbiodiniaceae,-14.922,2.951
Symbiodiniaceae,-14.512,2.635
Symbiodiniaceae,-13.993,2.547
Symbiodiniaceae,-14.715,2.797
Symbiodiniaceae,-14.571,2.478
Symbiodiniaceae,-15.197,2.415
Symbiodiniaceae,-13.649,2.726
Symbiodiniaceae,-15.629,4.102
Symbiodiniaceae,-14.633,2.698
Symbiodiniaceae,-14.476,2.478
Symbiodiniaceae,-15.151,2.821
Symbiodiniaceae,-15.781,2.314
Symbiodiniaceae,-14.996,2.32
Symbiodiniaceae,-13.668,2.682
Symbiodiniaceae,-16.81,2.672
Symbiodiniaceae,-15.343,4.174
Symbiodiniaceae,-15.844,3.52
Symbiodiniaceae,-16.306,2.781
Symbiodiniaceae,-17.054,3.232
Symbiodiniaceae,-15.074,3.796
Symbiodiniaceae,-16.523,2.367
Symbiodiniaceae,-14.872,2.968
