iso1,iso2,group,Season,community
-15.705,3.431,Host tissue,Spring,1
-15.565,2.956,Host tissue,Spring,1
-15.404,3.688,Host tissue,Spring,1
-14.987,3.381,Host tissue,Spring,1
-15.565,4.918,Host tissue,Summer,1
-14.292,3.368,Host tissue,Summer,1
-14.918,3.407,Host tissue,Summer,1
-14.335,2.667,Host tissue,Summer,1
-14.04,3.502,Host tissue,Summer,1
-14.641,6.61,Host tissue,Summer,1
-14.897,3.434,Host tissue,Summer,1
-15.291,7.976,Host tissue,Summer,1
-13.645,3.234,Host tissue,Fall,1
-16.048,3.572,Host tissue,Fall,1
-15.742,3.071,Host tissue,Fall,1
-15.0565,3.0965,Host tissue,Fall,1
-15.8605,3.787,Host tissue,Fall,1
-14.8965,3.9975,Host tissue,Fall,1
-13.968,5.0175,Host tissue,Fall,1
-16.61,4.481,Host tissue,Winter,1
-15.024,4.971,Host tissue,Winter,1
-15.843,4.75,Host tissue,Winter,1
-17.042,4.355,Host tissue,Winter,1
-14.775,5.437,Host tissue,Winter,1
-15.29,3.038,Symbiodiniaceae,Spring,1
-15.303,2.9,Symbiodiniaceae,Spring,1
-15.312,2.876,Symbiodiniaceae,Spring,1
-14.713,2.888,Symbiodiniaceae,Spring,1
-15.521,3.147,Symbiodiniaceae,Summer,1
-14.139,2.22,Symbiodiniaceae,Summer,1
-14.922,2.951,Symbiodiniaceae,Summer,1
-14.512,2.635,Symbiodiniaceae,Summer,1
-13.993,2.547,Symbiodiniaceae,Summer,1
-14.715,2.797,Symbiodiniaceae,Summer,1
-14.571,2.478,Symbiodiniaceae,Summer,1
-15.197,2.415,Symbiodiniaceae,Summer,1
-13.649,2.726,Symbiodiniaceae,Fall,1
-15.629,4.102,Symbiodiniaceae,Fall,1
-14.633,2.698,Symbiodiniaceae,Fall,1
-14.476,2.478,Symbiodiniaceae,Fall,1
-15.151,2.821,Symbiodiniaceae,Fall,1
-15.781,2.314,Symbiodiniaceae,Fall,1
-13.668,2.682,Symbiodiniaceae,Fall,1
-16.81,2.672,Symbiodiniaceae,Winter,1
-15.343,4.174,Symbiodiniaceae,Winter,1
-16.306,2.781,Symbiodiniaceae,Winter,1
-17.054,3.232,Symbiodiniaceae,Winter,1
-15.074,3.796,Symbiodiniaceae,Winter,1
